iter	Passed	Remaining
407	5524	5308
408	5539	5295
409	5553	5282
410	5567	5269
411	5581	5256
412	5596	5244
413	5612	5233
414	5626	5219
415	5641	5207
416	5655	5194
417	5670	5182
418	5685	5169
419	5700	5157
420	5716	5146
421	5731	5133
422	5746	5121
423	5767	5114
424	5785	5104
425	5805	5096
426	5821	5085
427	5843	5078
428	5862	5069
429	5883	5062
430	5900	5051
431	5916	5040
432	5931	5027
433	5946	5014
434	5960	5001
435	5975	4988
436	5988	4974
437	6001	4959
438	6014	4945
439	6028	4932
440	6040	4917
441	6053	4903
442	6066	4889
443	6081	4876
444	6094	4861
445	6106	4847
446	6118	4832
447	6131	4817
448	6144	4803
449	6159	4790
450	6173	4777
451	6185	4762
452	6199	4748
453	6212	4734
454	6225	4720
455	6239	4706
456	6253	4693
457	6266	4679
458	6281	4666
459	6296	4653
460	6313	4642
461	6328	4629
462	6342	4616
463	6357	4603
464	6373	4591
465	6388	4578
466	6402	4565
467	6416	4551
468	6431	4539
469	6446	4526
470	6461	4513
471	6477	4501
472	6492	4488
473	6507	4475
474	6521	4462
475	6536	4449
476	6552	4436
477	6566	4423
478	6582	4411
479	6595	4397
480	6612	4385
481	6628	4372
482	6643	4359
483	6659	4348
484	6674	4334
485	6687	4320
486	6702	4307
487	6715	4293
488	6728	4279
489	6741	4265
490	6754	4250
491	6767	4236
492	6782	4223
493	6794	4208
494	6809	4195
495	6825	4183
496	6840	4170
497	6855	4157
498	6870	4144
499	6884	4130
500	6899	4117
501	6913	4104
502	6925	4089
503	6939	4075
504	6952	4061
505	6965	4046
506	6978	4032
507	6990	4018
508	7003	4004
509	7018	3990
510	7031	3976
511	7044	3962
512	7056	3947
513	7068	3933
514	7082	3919
515	7094	3904
516	7106	3890
517	7119	3875
518	7134	3862
519	7147	3848
520	7160	3834
521	7172	3819
522	7186	3806
523	7198	3791
524	7212	3777
525	7225	3763
526	7237	3748
527	7252	3735
528	7265	3721
529	7277	3707
530	7290	3693
531	7303	3679
532	7316	3664
533	7329	3650
534	7342	3636
535	7354	3622
536	7369	3609
537	7382	3595
538	7395	3581
539	7409	3567
540	7424	3554
541	7436	3539
542	7449	3525
543	7461	3511
544	7474	3497
545	7490	3484
546	7504	3470
547	7517	3456
548	7529	3442
549	7542	3428
550	7555	3414
551	7567	3400
552	7580	3385
553	7594	3372
554	7607	3358
555	7619	3343
556	7631	3329
557	7644	3315
558	7658	3301
559	7671	3287
560	7683	3273
561	7696	3259
562	7709	3245
563	7722	3231
564	7734	3217
565	7746	3202
566	7758	3188
567	7771	3174
568	7783	3159
569	7795	3145
570	7807	3131
571	7822	3117
572	7834	3103
573	7846	3089
574	7860	3075
575	7873	3061
576	7885	3047
577	7897	3033
578	7909	3019
579	7922	3004
